type,latency,latency_ms
10,0.000,0 
81,14.628,1.462776e+04 
81,35.531,3.553061e+04 
81,36.212,3.621207e+04 
81,57.435,5.743460e+04 
23,0.379,3.786970e+02 
33,1.417,1.417012e+03 
53,3.473,3.473204e+03 
93,63.654,6.365432e+04 
81,86.282,8.628182e+04 
81,98.020,9.801954e+04 
81,106.832,1.068323e+05 
81,114.779,1.147789e+05 
81,126.182,1.261822e+05 
81,135.074,1.350741e+05 
21,76.814,7.681382e+04 
31,77.837,7.783715e+04 
51,79.900,7.990031e+04 
91,140.091,1.400911e+05 
81,198.537,1.985370e+05 
24,144.513,1.445131e+05 
34,145.540,1.455402e+05 
54,147.599,1.475991e+05 
94,207.793,2.077933e+05 
81,222.489,2.224893e+05 
81,235.904,2.359040e+05 
81,240.237,2.402369e+05 
81,258.705,2.587051e+05 
81,259.174,2.591741e+05 
21,212.635,2.126350e+05 
31,213.660,2.136601e+05 
51,215.722,2.157221e+05 
91,275.948,2.759476e+05 
21,284.965,2.849653e+05 
31,285.997,2.859972e+05 
51,288.064,2.880641e+05 
91,348.251,3.482512e+05 
81,363.018,3.630181e+05 
81,374.760,3.747602e+05 
81,383.563,3.835626e+05 
81,391.530,3.915304e+05 
81,402.928,4.029281e+05 
81,411.829,4.118285e+05 
21,353.546,3.535463e+05 
31,354.583,3.545828e+05 
51,356.645,3.566451e+05 
91,416.804,4.168039e+05 
81,435.496,4.354963e+05 
81,445.422,4.454217e+05 
81,460.277,4.602767e+05 
81,471.065,4.710649e+05 
81,478.268,4.782685e+05 
21,420.853,4.208528e+05 
31,421.886,4.218858e+05 
51,423.947,4.239467e+05 
91,484.123,4.841232e+05 
81,491.907,4.919074e+05 
81,507.999,5.079993e+05 
81,508.833,5.088329e+05 
22,488.769,4.887695e+05 
32,489.789,4.897888e+05 
52,491.855,4.918547e+05 
92,552.026,5.520262e+05 
