type,latency,latency_ms
10,0.000,0 
80,9.944,9.944014e+03 
81,21.011,2.101119e+04 
80,21.527,2.152748e+04 
80,30.407,3.040729e+04 
81,37.145,3.714515e+04 
80,38.465,3.846451e+04 
80,49.767,4.976714e+04 
81,55.649,5.564891e+04 
80,58.863,5.886265e+04 
24,0.366,3.661150e+02 
34,1.400,1.400428e+03 
54,3.462,3.462109e+03 
94,63.654,6.365419e+04 
80,84.265,8.426500e+04 
81,94.764,9.476396e+04 
81,110.902,1.109018e+05 
81,129.400,1.293996e+05 
23,74.127,7.412694e+04 
33,75.153,7.515341e+04 
53,77.219,7.721865e+04 
93,137.390,1.373900e+05 
80,161.033,1.610333e+05 
80,173.053,1.730527e+05 
80,183.371,1.833710e+05 
80,186.018,1.860177e+05 
80,189.354,1.893536e+05 
22,143.102,1.431018e+05 
32,144.123,1.441231e+05 
52,146.188,1.461882e+05 
92,206.361,2.063605e+05 
80,220.319,2.203190e+05 
81,228.188,2.281877e+05 
80,233.713,2.337130e+05 
80,237.911,2.379113e+05 
81,239.990,2.399898e+05 
81,255.989,2.559891e+05 
80,256.521,2.565214e+05 
80,272.392,2.723916e+05 
21,210.220,2.102198e+05 
31,211.243,2.112426e+05 
51,213.307,2.133071e+05 
91,273.480,2.734803e+05 
81,283.015,2.830146e+05 
80,294.675,2.946750e+05 
81,299.107,2.991070e+05 
81,299.939,2.999389e+05 
80,304.545,3.045449e+05 
80,319.273,3.192732e+05 
80,330.094,3.300943e+05 
80,337.469,3.374687e+05 
80,341.858,3.418576e+05 
25,279.862,2.798619e+05 
35,280.896,2.808960e+05 
55,282.961,2.829615e+05 
95,343.149,3.431490e+05 
80,368.442,3.684421e+05 
81,368.809,3.688086e+05 
81,378.742,3.787421e+05 
80,389.360,3.893596e+05 
81,393.576,3.935762e+05 
80,401.152,4.011516e+05 
81,404.377,4.043768e+05 
80,409.277,4.092770e+05 
80,411.244,4.112437e+05 
81,411.577,4.115773e+05 
24,354.176,3.541764e+05 
34,355.198,3.551984e+05 
54,357.260,3.572595e+05 
94,417.436,4.174363e+05 
80,434.459,4.344589e+05 
80,445.797,4.457968e+05 
80,454.780,454780 
80,462.696,4.626960e+05 
80,474.132,4.741322e+05 
81,478.684,4.786839e+05 
80,483.199,4.831994e+05 
21,424.677,4.246766e+05 
31,425.701,4.257012e+05 
51,427.769,4.277688e+05 
91,487.955,4.879554e+05 
80,508.515,5.085149e+05 
81,516.207,5.162068e+05 
81,528.011,5.280113e+05 
81,544.016,5.440158e+05 
22,498.241,4.982410e+05 
32,499.271,4.992709e+05 
52,501.334,5.013340e+05 
92,561.508,5.615084e+05 
80,581.899,5.818985e+05 
80,602.769,6.027686e+05 
80,614.638,6.146385e+05 
81,621.636,6.216360e+05 
80,622.719,6.227191e+05 
80,624.669,6.246693e+05 
21,567.605,5.676050e+05 
31,568.640,5.686405e+05 
51,570.705,5.707053e+05 
91,630.877,6.308771e+05 
80,646.887,6.468869e+05 
81,690.656,6.906557e+05 
26,636.652,6.366517e+05 
36,637.677,6.376767e+05 
56,639.741,6.397405e+05 
96,699.915,6.999146e+05 
80,720.573,7.205732e+05 
81,727.040,7.270402e+05 
80,741.547,7.415471e+05 
81,743.171,7.431710e+05 
80,753.441,7.534412e+05 
80,761.508,7.615084e+05 
81,761.673,7.616731e+05 
80,763.508,7.635081e+05 
25,706.398,7.063976e+05 
35,707.430,7.074295e+05 
55,709.493,7.094926e+05 
95,769.668,7.696675e+05 
81,788.726,7.887262e+05 
80,789.308,7.893077e+05 
80,799.144,7.991441e+05 
81,809.629,8.096293e+05 
81,810.299,8.102988e+05 
80,813.894,8.138938e+05 
80,824.776,8.247762e+05 
81,831.528,8.315278e+05 
80,832.040,8.320403e+05 
80,836.628,8.366279e+05 
22,774.491,7.744914e+05 
32,775.516,7.755157e+05 
52,777.576,7.775764e+05 
92,837.736,8.377356e+05 
81,860.896,8.608959e+05 
80,864.329,8.643292e+05 
81,870.829,8.708295e+05 
80,876.194,8.761936e+05 
81,885.680,8.856804e+05 
80,886.580,8.865803e+05 
80,889.081,8.890807e+05 
80,892.048,8.920485e+05 
81,896.464,8.964641e+05 
81,903.665,9.036646e+05 
26,846.250,8.462499e+05 
36,847.285,8.472853e+05 
56,849.348,8.493480e+05 
96,909.523,9.095229e+05 
80,925.267,9.252673e+05 
81,930.049,9.300492e+05 
80,936.941,9.369409e+05 
80,945.866,9.458664e+05 
81,950.955,9.509547e+05 
81,951.616,9.516158e+05 
80,953.897,9.538969e+05 
80,965.217,9.652173e+05 
81,972.849,9.728492e+05 
80,974.287,9.742873e+05 
26,915.804,9.158038e+05 
36,916.839,9.168386e+05 
56,918.901,9.189014e+05 
96,979.076,9.790762e+05 
81,988.510,9.885102e+05 
80,999.585,9.995852e+05 
81,1004.602,1.004602e+06 
81,1005.436,1.005436e+06 
80,1020.486,1.020486e+06 
80,1032.458,1.032458e+06 
80,1040.538,1.040538e+06 
80,1042.537,1.042537e+06 
24,985.362,9.853620e+05 
34,986.392,9.863917e+05 
54,988.456,9.884564e+05 
94,1048.629,1.048629e+06 
80,1076.906,1.076906e+06 
81,1076.990,1.076990e+06 
81,1093.123,1.093123e+06 
80,1093.150,1.093150e+06 
81,1111.624,1.111624e+06 
80,1111.811,1.111811e+06 
23,1056.355,1.056355e+06 
33,1057.378,1.057378e+06 
53,1059.441,1.059441e+06 
93,1119.615,1.119615e+06 
80,1136.392,1.136392e+06 
81,1140.792,1.140792e+06 
81,1150.720,1.150720e+06 
81,1165.561,1.165561e+06 
81,1176.360,1.176360e+06 
81,1183.560,1.183560e+06 
23,1126.152,1.126152e+06 
33,1127.181,1.127181e+06 
53,1129.245,1.129245e+06 
93,1189.419,1.189419e+06 
80,1212.941,1.212941e+06 
80,1222.780,1.222780e+06 
80,1237.499,1.237499e+06 
80,1248.250,1.248250e+06 
80,1255.678,1.255678e+06 
80,1260.197,1.260197e+06 
25,1197.992,1.197992e+06 
35,1199.018,1.199018e+06 
55,1201.080,1.201080e+06 
