type,latency,latency_ms
10,0.000,0 
81,3.519,3.518825e+03 
81,19.611,1.961114e+04 
81,20.445,2.044484e+04 
21,0.379,3.788180e+02 
31,1.400,1.400392e+03 
51,3.464,3.463845e+03 
91,63.637,6.363727e+04 
85,65.583,6.558285e+04 
81,82.630,8.263033e+04 
81,92.566,9.256595e+04 
81,107.415,1.074153e+05 
81,118.216,1.182162e+05 
81,125.416,1.254157e+05 
26,67.984,6.798409e+04 
36,69.020,6.902004e+04 
56,71.082,7.108240e+04 
96,131.257,1.312571e+05 
84,133.664,1.336640e+05 
81,145.526,1.455257e+05 
81,157.253,1.572528e+05 
81,166.053,1.660534e+05 
81,174.021,1.740207e+05 
81,185.418,1.854181e+05 
81,194.318,1.943184e+05 
26,136.038,1.360382e+05 
36,137.073,1.370728e+05 
56,139.136,1.391361e+05 
96,199.360,1.993601e+05 
85,201.439,2.014394e+05 
81,224.470,2.244700e+05 
81,240.604,2.406036e+05 
81,259.104,2.591036e+05 
25,203.838,2.038379e+05 
35,204.860,2.048598e+05 
55,206.923,2.069231e+05 
95,267.096,2.670963e+05 
85,270.096,2.700956e+05 
81,326.474,3.264739e+05 
21,272.474,2.724742e+05 
31,273.495,2.734953e+05 
51,275.558,2.755577e+05 
91,335.733,3.357334e+05 
86,348.304,3.483043e+05 
23,350.704,3.507038e+05 
33,351.732,3.517318e+05 
53,353.795,3.537952e+05 
93,413.968,4.139685e+05 
86,415.712,4.157121e+05 
81,427.578,4.275783e+05 
81,439.312,4.393123e+05 
81,448.116,4.481163e+05 
81,456.080,4.560803e+05 
81,467.480,4.674804e+05 
81,476.372,4.763719e+05 
23,418.109,4.181092e+05 
33,419.135,4.191347e+05 
53,421.199,4.211991e+05 
93,481.389,4.813891e+05 
85,484.706,4.847057e+05 
81,507.748,5.077483e+05 
81,523.887,5.238868e+05 
81,542.383,5.423832e+05 
22,487.110,4.871102e+05 
32,488.138,4.881377e+05 
52,490.201,4.902013e+05 
92,550.375,5.503754e+05 
86,552.096,5.520961e+05 
24,554.476,5.544760e+05 
34,555.507,5.555072e+05 
54,557.571,5.575709e+05 
94,617.761,6.177612e+05 
84,629.840,6.298405e+05 
81,650.188,6.501878e+05 
81,661.992,6.619921e+05 
81,677.989,6.779890e+05 
21,632.223,6.322228e+05 
31,633.244,6.332439e+05 
51,635.307,6.353071e+05 
91,695.481,6.954814e+05 
85,704.593,7.045927e+05 
81,716.474,7.164740e+05 
81,728.209,7.282086e+05 
81,737.018,7.370179e+05 
81,744.976,7.449755e+05 
81,756.376,7.563757e+05 
81,765.277,7.652768e+05 
23,706.994,7.069944e+05 
33,708.030,7.080305e+05 
53,710.094,7.100942e+05 
93,770.268,7.702679e+05 
85,772.481,7.724809e+05 
26,774.897,7.748974e+05 
36,775.933,7.759333e+05 
56,777.997,7.779974e+05 
96,838.188,8.381875e+05 
85,839.425,8.394251e+05 
81,856.447,8.564470e+05 
81,866.380,8.663802e+05 
81,881.215,8.812146e+05 
81,892.015,8.920150e+05 
81,899.215,8.992149e+05 
25,841.801,8.418006e+05 
35,842.836,8.428362e+05 
55,844.899,8.448993e+05 
95,905.090,9.050903e+05 
85,906.673,9.066733e+05 
81,923.300,9.232996e+05 
81,944.201,9.442007e+05 
81,944.868,9.448679e+05 
81,966.101,9.661011e+05 
24,909.063,9.090634e+05 
34,910.089,9.100891e+05 
54,912.152,9.121524e+05 
94,972.342,9.723420e+05 
86,974.210,9.742099e+05 
22,976.613,9.766127e+05 
32,977.642,9.776420e+05 
52,979.706,9.797063e+05 
92,1039.880,1.039880e+06 
86,1042.258,1.042258e+06 
81,1059.289,1.059289e+06 
81,1069.223,1.069223e+06 
81,1084.063,1.084063e+06 
81,1094.857,1.094857e+06 
81,1102.057,1.102057e+06 
22,1044.657,1.044657e+06 
32,1045.678,1.045678e+06 
52,1047.740,1.047740e+06 
92,1107.916,1.107916e+06 
85,1109.650,1.109650e+06 
81,1126.675,1.126675e+06 
81,1136.609,1.136609e+06 
81,1151.447,1.151447e+06 
81,1162.243,1.162243e+06 
81,1169.444,1.169444e+06 
24,1112.033,1.112033e+06 
34,1113.065,1.113065e+06 
54,1115.129,1.115129e+06 
94,1175.302,1.175302e+06 
85,1176.883,1.176883e+06 
25,1179.265,1.179265e+06 
35,1180.301,1.180301e+06 
55,1182.367,1.182367e+06 
95,1242.538,1.242538e+06 
84,1243.699,1.243699e+06 
100,1244.700,1.244700e+06 
