type,latency,latency_ms
10,0.000,0 
81,18.328,1.832804e+04 
80,21.374,2.137401e+04 
81,30.131,3.013104e+04 
80,46.118,4.611785e+04 
81,46.138,4.613766e+04 
80,54.549,5.454864e+04 
21,0.362,3.621550e+02 
31,1.384,1.383657e+03 
51,3.449,3.449157e+03 
91,63.605,6.360474e+04 
81,81.897,8.189687e+04 
80,93.368,9.336764e+04 
81,93.649,9.364913e+04 
81,102.448,1.024477e+05 
81,110.406,1.104057e+05 
80,118.101,1.181009e+05 
81,121.800,1.217995e+05 
80,126.583,1.265833e+05 
81,130.697,1.306969e+05 
24,72.419,7.241864e+04 
34,73.453,7.345337e+04 
54,75.523,7.552306e+04 
94,135.689,1.356893e+05 
80,152.803,1.528025e+05 
80,164.488,1.644881e+05 
80,173.485,1.734849e+05 
80,181.417,1.814173e+05 
80,192.801,1.928010e+05 
81,197.391,1.973913e+05 
80,201.786,2.017857e+05 
26,143.363,1.433632e+05 
36,144.390,1.443903e+05 
56,146.457,1.464571e+05 
96,206.626,2.066265e+05 
81,229.937,2.299372e+05 
80,231.257,2.312570e+05 
81,241.740,2.417404e+05 
81,257.737,2.577375e+05 
23,211.961,2.119605e+05 
33,212.992,2.129922e+05 
53,215.061,2.150615e+05 
93,275.230,2.752304e+05 
80,292.655,2.926553e+05 
81,297.173,2.971734e+05 
80,305.862,3.058615e+05 
81,307.111,3.071108e+05 
80,310.177,3.101767e+05 
81,321.938,3.219380e+05 
80,328.492,3.284918e+05 
81,332.740,3.327403e+05 
81,339.941,3.399405e+05 
80,344.745,3.447448e+05 
23,282.528,2.825277e+05 
33,283.562,2.835616e+05 
53,285.626,2.856260e+05 
93,345.800,3.457996e+05 
81,372.926,3.729256e+05 
80,373.425,3.734255e+05 
80,389.058,3.890583e+05 
81,389.062,3.890620e+05 
81,407.560,4.075599e+05 
80,407.729,4.077287e+05 
21,352.287,3.522869e+05 
31,353.315,3.533145e+05 
51,355.381,3.553810e+05 
91,415.552,4.155523e+05 
80,436.828,4.368279e+05 
81,440.028,4.400278e+05 
80,446.695,4.466950e+05 
81,451.828,4.518283e+05 
80,461.513,4.615125e+05 
81,467.821,4.678206e+05 
80,472.344,4.723438e+05 
80,479.563,4.795631e+05 
80,484.255,4.842546e+05 
24,422.062,4.220622e+05 
34,423.084,4.230841e+05 
54,425.148,4.251482e+05 
94,485.337,4.853371e+05 
81,510.598,5.105975e+05 
80,513.631,5.136314e+05 
81,522.399,5.223991e+05 
80,538.099,5.380987e+05 
81,538.399,5.383987e+05 
25,492.625,4.926249e+05 
35,493.654,4.936537e+05 
55,495.716,4.957164e+05 
95,555.924,5.559241e+05 
81,576.617,5.766172e+05 
80,580.300,5.803005e+05 
80,592.385,5.923848e+05 
81,597.520,5.975197e+05 
81,598.201,5.982012e+05 
80,602.601,6.026011e+05 
80,605.319,6.053188e+05 
80,608.151,6.081514e+05 
81,619.418,6.194183e+05 
22,562.381,5.623809e+05 
32,563.406,5.634065e+05 
52,565.473,5.654731e+05 
92,625.643,6.256434e+05 
81,643.341,6.433412e+05 
80,651.686,6.516857e+05 
81,655.070,6.550701e+05 
80,663.854,6.638540e+05 
81,663.878,6.638784e+05 
81,671.834,6.718345e+05 
80,674.107,6.741073e+05 
80,676.745,6.767450e+05 
80,679.516,6.795165e+05 
81,683.238,6.832378e+05 
81,692.138,6.921383e+05 
21,633.859,6.338592e+05 
31,634.893,6.348927e+05 
51,636.956,6.369565e+05 
91,697.147,6.971465e+05 
80,724.673,7.246729e+05 
80,749.574,7.495739e+05 
81,757.708,7.577076e+05 
80,757.851,7.578512e+05 
26,703.708,7.037083e+05 
36,704.729,7.047289e+05 
56,706.794,7.067938e+05 
96,767.000,7.669995e+05 
81,783.292,7.832918e+05 
80,783.445,7.834449e+05 
81,796.726,7.967255e+05 
80,796.843,7.968431e+05 
81,801.076,8.010762e+05 
80,801.112,8.011122e+05 
81,819.519,8.195187e+05 
80,819.662,8.196620e+05 
81,819.993,8.199934e+05 
80,835.611,8.356109e+05 
25,773.457,7.734567e+05 
35,774.482,7.744817e+05 
55,776.543,7.765432e+05 
95,836.719,8.367186e+05 
24,846.024,8.460240e+05 
34,847.051,8.470514e+05 
54,849.116,8.491156e+05 
94,909.289,909289 
81,926.534,9.265338e+05 
80,934.868,9.348678e+05 
81,938.272,9.382719e+05 
81,947.068,9.470680e+05 
80,947.087,9.470869e+05 
81,955.034,9.550339e+05 
80,957.433,9.574329e+05 
80,959.999,9.599991e+05 
80,962.685,9.626849e+05 
81,966.433,9.664326e+05 
81,975.332,9.753323e+05 
26,917.062,9.170618e+05 
36,918.088,9.180879e+05 
56,920.153,9.201530e+05 
96,980.325,9.803253e+05 
81,1002.534,1.002534e+06 
80,1007.150,1.007150e+06 
81,1012.468,1.012468e+06 
81,1027.301,1.027301e+06 
81,1038.102,1.038102e+06 
81,1045.303,1.045303e+06 
22,987.888,9.878882e+05 
32,988.924,9.889237e+05 
52,990.989,9.909887e+05 
92,1051.161,1.051161e+06 
81,1061.155,1.061155e+06 
81,1077.239,1.077239e+06 
81,1078.072,1.078072e+06 
80,1078.957,1.078957e+06 
80,1103.721,1.103721e+06 
80,1112.139,1.112139e+06 
25,1058.000,1.058000e+06 
35,1059.027,1.059027e+06 
55,1061.091,1.061091e+06 
95,1121.280,1.121280e+06 
80,1142.190,1.142190e+06 
80,1163.162,1.163162e+06 
80,1174.958,1.174958e+06 
80,1183.076,1.183076e+06 
80,1184.975,1.184975e+06 
23,1128.012,1.128012e+06 
33,1129.046,1.129046e+06 
53,1131.110,1.131110e+06 
93,1191.283,1.191283e+06 
80,1218.226,1.218226e+06 
80,1234.064,1.234064e+06 
80,1252.794,1.252794e+06 
22,1197.320,1.197320e+06 
32,1198.349,1.198349e+06 
52,1200.413,1.200413e+06 
92,1260.586,1.260586e+06 
100,1265.616,1.265616e+06 
