type,latency,latency_ms
10,0.000,0 
81,21.011,2.101140e+04 
81,37.128,3.712838e+04 
81,55.627,5.562721e+04 
24,0.357,3.570620e+02 
34,1.384,1.383755e+03 
54,3.445,3.445056e+03 
94,63.621,6.362064e+04 
85,68.380,6.838011e+04 
81,91.393,9.139296e+04 
81,107.533,1.075326e+05 
81,126.024,1.260240e+05 
23,70.756,7.075594e+04 
33,71.787,7.178682e+04 
53,73.835,7.383532e+04 
93,134.023,1.340235e+05 
85,136.189,1.361892e+05 
22,138.572,1.385716e+05 
32,139.606,1.396065e+05 
52,141.671,1.416707e+05 
92,201.860,2.018596e+05 
86,203.469,2.034689e+05 
81,223.838,2.238382e+05 
81,235.637,2.356374e+05 
81,251.638,2.516379e+05 
21,205.871,2.058710e+05 
31,206.893,2.068928e+05 
51,208.958,2.089582e+05 
91,269.131,2.691306e+05 
