type,latency,latency_ms
10,0.000,0 
80,14.564,1.456425e+04 
81,14.978,1.497840e+04 
81,24.911,2.491072e+04 
80,35.517,3.551742e+04 
81,39.763,3.976261e+04 
80,47.345,4.734514e+04 
81,50.563,5.056294e+04 
80,55.341,5.534105e+04 
80,57.396,5.739603e+04 
81,57.763,5.776331e+04 
24,0.346,3.460480e+02 
34,1.367,1.367079e+03 
54,3.435,3.434677e+03 
94,63.604,6.360397e+04 
80,87.186,8.718594e+04 
80,99.136,9.913629e+04 
80,109.437,1.094371e+05 
80,112.086,1.120857e+05 
80,114.977,1.149767e+05 
22,69.262,6.926216e+04 
32,70.287,7.028651e+04 
52,72.349,7.234937e+04 
92,132.523,1.325233e+05 
81,155.733,1.557334e+05 
80,161.969,1.619688e+05 
81,176.639,1.766388e+05 
81,177.303,1.773025e+05 
80,178.186,1.781858e+05 
80,196.921,1.969213e+05 
81,198.533,1.985329e+05 
22,141.491,1.414910e+05 
32,142.523,1.425228e+05 
52,144.587,1.445871e+05 
92,204.760,2.047599e+05 
80,222.757,2.227566e+05 
81,230.633,2.306329e+05 
80,236.066,2.360662e+05 
80,239.855,2.398548e+05 
81,242.439,2.424393e+05 
81,258.438,2.584380e+05 
80,259.071,2.590711e+05 
80,274.910,2.749096e+05 
22,212.660,2.126597e+05 
32,213.693,2.136928e+05 
52,215.755,2.157555e+05 
92,275.931,2.759312e+05 
81,296.115,2.961148e+05 
80,302.393,3.023935e+05 
81,306.057,3.060569e+05 
80,318.246,3.182456e+05 
81,320.878,3.208782e+05 
81,331.675,3.316747e+05 
80,336.891,3.368912e+05 
81,338.875,3.388752e+05 
26,281.464,2.814644e+05 
36,282.497,2.824967e+05 
56,284.561,2.845610e+05 
96,344.734,3.447338e+05 
80,361.076,3.610764e+05 
23,350.903,3.509031e+05 
33,351.933,3.519326e+05 
53,354.002,3.540017e+05 
93,414.171,4.141711e+05 
81,431.945,4.319448e+05 
80,432.080,4.320803e+05 
80,443.567,4.435671e+05 
81,443.680,4.436797e+05 
81,452.480,4.524800e+05 
80,452.644,4.526435e+05 
81,460.451,4.604507e+05 
80,460.618,4.606175e+05 
81,471.848,4.718481e+05 
80,471.955,4.719547e+05 
81,480.749,4.807486e+05 
80,480.817,4.808167e+05 
26,422.469,4.224685e+05 
36,423.503,4.235026e+05 
56,425.563,4.255632e+05 
96,485.723,4.857232e+05 
80,502.416,5.024161e+05 
81,513.583,5.135834e+05 
80,514.058,5.140584e+05 
80,522.928,5.229279e+05 
81,529.697,5.296967e+05 
80,531.184,5.311838e+05 
80,542.235,5.422348e+05 
81,548.201,5.482013e+05 
80,551.485,5.514852e+05 
25,492.936,4.929358e+05 
35,493.956,4.939559e+05 
55,496.022,4.960223e+05 
95,556.193,5.561932e+05 
81,577.953,5.779531e+05 
80,584.408,5.844076e+05 
81,587.887,5.878869e+05 
80,593.404,5.934037e+05 
80,601.491,6.014911e+05 
81,602.721,6.027208e+05 
80,612.674,6.126741e+05 
81,613.521,6.135212e+05 
81,620.721,6.207215e+05 
80,621.822,6.218217e+05 
80,625.764,6.257636e+05 
25,563.321,5.633211e+05 
35,564.342,5.643424e+05 
55,566.390,5.663899e+05 
95,626.580,6.265799e+05 
81,643.489,6.434893e+05 
80,654.945,6.549453e+05 
81,655.223,6.552233e+05 
81,664.024,6.640238e+05 
81,671.988,6.719877e+05 
80,679.924,6.799241e+05 
81,683.391,6.833912e+05 
80,688.225,6.882247e+05 
81,692.291,6.922913e+05 
25,634.011,6.340112e+05 
35,635.046,6.350457e+05 
55,637.108,6.371082e+05 
95,697.283,6.972828e+05 
81,715.126,7.151259e+05 
80,723.559,7.235595e+05 
81,726.860,7.268597e+05 
80,735.577,7.355766e+05 
81,735.680,7.356797e+05 
81,743.626,7.436265e+05 
80,745.826,7.458260e+05 
80,748.531,7.485309e+05 
80,751.444,7.514436e+05 
81,755.028,7.550277e+05 
81,763.928,7.639277e+05 
26,705.659,7.056591e+05 
36,706.682,7.066822e+05 
56,708.744,7.087440e+05 
96,768.920,7.689197e+05 
81,783.612,7.836122e+05 
80,788.946,7.889457e+05 
81,795.363,7.953627e+05 
80,798.963,7.989626e+05 
81,804.146,8.041456e+05 
81,812.105,8.121052e+05 
80,813.658,8.136583e+05 
81,823.514,8.235139e+05 
80,824.381,8.243805e+05 
80,831.523,8.315227e+05 
81,832.418,8.324182e+05 
80,836.343,8.363432e+05 
21,774.149,7.741489e+05 
31,775.169,7.751685e+05 
51,777.215,7.772150e+05 
91,837.371,8.373715e+05 
81,859.916,8.599156e+05 
80,863.182,8.631821e+05 
81,871.708,8.717080e+05 
81,887.717,8.877174e+05 
80,887.827,8.878268e+05 
80,896.134,8.961343e+05 
24,841.950,8.419503e+05 
34,842.971,8.429714e+05 
54,845.033,8.450329e+05 
94,905.192,9.051924e+05 
80,921.854,9.218536e+05 
81,926.368,9.263684e+05 
80,935.029,9.350294e+05 
81,936.304,9.363037e+05 
80,939.619,9.396188e+05 
81,951.142,9.511424e+05 
80,958.070,9.580699e+05 
81,961.937,9.619368e+05 
81,969.137,9.691366e+05 
80,973.936,9.739358e+05 
21,911.725,9.117251e+05 
31,912.758,9.127579e+05 
51,914.817,9.148167e+05 
91,974.996,9.749959e+05 
81,1000.838,1.000838e+06 
80,1001.191,1.001191e+06 
81,1016.981,1.016981e+06 
80,1025.973,1.025973e+06 
81,1035.473,1.035473e+06 
21,980.194,9.801938e+05 
31,981.227,9.812275e+05 
51,983.289,9.832886e+05 
91,1043.465,1.043465e+06 
81,1060.110,1.060110e+06 
80,1068.627,1.068627e+06 
81,1071.841,1.071841e+06 
80,1080.492,1.080492e+06 
81,1080.642,1.080642e+06 
81,1088.610,1.088610e+06 
80,1090.826,1.090826e+06 
80,1093.525,1.093525e+06 
80,1096.376,1.096376e+06 
81,1100.009,1.100009e+06 
81,1108.910,1.108910e+06 
24,1050.629,1.050629e+06 
34,1051.664,1.051664e+06 
