type,latency,latency_ms
10,0.000,0 
81,9.794,9.793856e+03 
81,21.531,2.153121e+04 
81,30.330,3.032984e+04 
81,38.295,3.829517e+04 
80,46.145,4.614546e+04 
81,49.697,4.969740e+04 
80,54.579,5.457912e+04 
81,58.590,5.859017e+04 
26,0.323,3.233220e+02 
36,1.350,1.350456e+03 
56,3.420,3.420040e+03 
96,63.587,6.358666e+04 
81,82.532,8.253192e+04 
80,91.031,9.103141e+04 
81,94.283,9.428302e+04 
80,102.981,1.029814e+05 
81,103.085,1.030849e+05 
81,111.033,1.110332e+05 
80,113.336,1.133357e+05 
80,115.999,1.159988e+05 
80,118.850,1.188498e+05 
81,122.432,1.224320e+05 
81,131.332,1.313324e+05 
25,73.057,7.305699e+04 
35,74.087,7.408715e+04 
55,76.150,7.615030e+04 
95,136.324,1.363240e+05 
81,154.619,1.546188e+05 
80,159.833,1.598334e+05 
81,166.374,1.663738e+05 
80,169.857,1.698574e+05 
81,175.168,1.751677e+05 
81,183.118,1.831185e+05 
80,184.585,1.845852e+05 
81,194.519,1.945190e+05 
80,195.419,1.954186e+05 
80,202.619,2.026188e+05 
81,203.419,2.034187e+05 
80,207.319,2.073194e+05 
26,145.148,1.451483e+05 
36,146.174,1.461737e+05 
56,148.242,1.482415e+05 
96,208.411,2.084107e+05 
81,236.104,2.361036e+05 
80,239.256,2.392563e+05 
81,247.901,2.479005e+05 
80,263.771,2.637713e+05 
81,263.897,2.638968e+05 
80,272.328,2.723283e+05 
26,218.128,2.181279e+05 
36,219.160,2.191602e+05 
56,221.217,2.212170e+05 
96,281.397,2.813972e+05 
80,300.994,3.009936e+05 
81,305.509,3.055086e+05 
80,314.258,3.142575e+05 
81,315.440,3.154399e+05 
80,318.558,3.185575e+05 
81,330.294,3.302938e+05 
80,337.229,3.372290e+05 
81,341.091,3.410913e+05 
81,348.292,3.482917e+05 
80,353.159,3.531588e+05 
23,290.862,2.908625e+05 
33,291.897,2.918970e+05 
53,293.965,2.939653e+05 
93,354.150,3.541504e+05 
81,387.818,3.878180e+05 
81,403.953,4.039533e+05 
81,422.454,4.224543e+05 
22,367.188,3.671880e+05 
32,368.216,3.682161e+05 
52,370.217,3.702173e+05 
92,430.369,4.303689e+05 
81,450.767,4.507666e+05 
80,459.348,4.593477e+05 
81,462.500,4.625000e+05 
80,471.064,4.710637e+05 
81,471.314,4.713136e+05 
81,479.264,4.792637e+05 
80,481.528,4.815280e+05 
80,484.281,4.842808e+05 
80,487.264,4.872643e+05 
81,490.657,4.906570e+05 
81,499.565,4.995646e+05 
25,441.299,4.412990e+05 
35,442.319,4.423192e+05 
55,444.392,4.443925e+05 
95,504.557,5.045574e+05 
22,515.828,5.158280e+05 
32,516.856,5.168559e+05 
52,518.857,5.188567e+05 
92,579.010,5.790102e+05 
80,606.954,6.069539e+05 
80,627.855,6.278548e+05 
80,639.955,6.399545e+05 
80,647.742,6.477421e+05 
80,649.805,6.498047e+05 
24,592.652,5.926523e+05 
34,593.676,5.936756e+05 
54,595.746,5.957465e+05 
94,655.930,6.559299e+05 
81,683.289,6.832893e+05 
80,694.756,6.947562e+05 
81,695.040,6.950399e+05 
81,703.842,7.038417e+05 
81,711.791,7.117906e+05 
80,719.457,7.194573e+05 
81,723.193,7.231927e+05 
80,728.143,7.281433e+05 
81,732.091,7.320908e+05 
24,673.821,6.738207e+05 
34,674.846,6.748456e+05 
54,676.913,6.769128e+05 
94,737.100,7.371001e+05 
81,763.209,7.632095e+05 
80,771.643,7.716428e+05 
81,774.943,7.749434e+05 
80,783.730,7.837304e+05 
81,783.754,7.837539e+05 
81,791.706,7.917055e+05 
80,794.056,7.940565e+05 
80,796.628,7.966280e+05 
80,799.528,7.995278e+05 
81,803.111,8.031110e+05 
81,812.011,8.120113e+05 
23,753.745,7.537455e+05 
33,754.766,7.547657e+05 
53,756.828,7.568278e+05 
93,817.003,8.170034e+05 
81,850.587,8.505873e+05 
81,862.388,8.623882e+05 
81,878.390,8.783904e+05 
21,832.626,8.326263e+05 
31,833.652,8.336522e+05 
51,835.653,8.356529e+05 
91,895.807,8.958073e+05 
81,963.076,9.630755e+05 
22,909.059,9.090586e+05 
32,910.089,9.100887e+05 
52,912.089,9.120895e+05 
92,972.242,9.722416e+05 
81,1002.077,1.002077e+06 
81,1022.979,1.022979e+06 
81,1023.661,1.023661e+06 
81,1044.879,1.044879e+06 
21,987.846,9.878464e+05 
31,988.875,9.888753e+05 
51,990.876,9.908765e+05 
91,1051.028,1.051028e+06 
81,1080.680,1.080680e+06 
81,1090.614,1.090614e+06 
81,1105.465,1.105465e+06 
81,1116.265,1.116265e+06 
81,1123.465,1.123465e+06 
21,1066.051,1.066051e+06 
31,1067.079,1.067079e+06 
51,1069.079,1.069079e+06 
91,1129.231,1.129231e+06 
80,1156.309,1.156309e+06 
81,1166.772,1.166772e+06 
81,1182.902,1.182902e+06 
81,1201.406,1.201406e+06 
25,1146.143,1.146143e+06 
35,1147.165,1.147165e+06 
55,1149.238,1.149238e+06 
95,1209.403,1.209403e+06 
81,1233.029,1.233029e+06 
80,1244.116,1.244116e+06 
81,1244.762,1.244762e+06 
81,1253.566,1.253566e+06 
80,1260.299,1.260299e+06 
81,1261.542,1.261542e+06 
81,1272.930,1.272930e+06 
80,1278.997,1.278997e+06 
81,1281.831,1.281831e+06 
23,1223.550,1.223550e+06 
33,1224.585,1.224585e+06 
53,1226.653,1.226653e+06 
93,1286.822,1.286822e+06 
81,1308.048,1.308048e+06 
80,1318.704,1.318704e+06 
81,1321.482,1.321482e+06 
81,1325.817,1.325817e+06 
80,1334.760,1.334760e+06 
81,1344.283,1.344283e+06 
81,1344.750,1.344750e+06 
80,1353.667,1.353667e+06 
24,1298.203,1.298203e+06 
34,1299.238,1.299238e+06 
54,1301.302,1.301302e+06 
94,1361.475,1.361475e+06 
100,1370.987,1.370987e+06 
