type,latency,latency_ms
10,0.000,0 
81,15.029,1.502853e+04 
81,24.961,2.496150e+04 
81,39.795,3.979536e+04 
81,50.605,5.060473e+04 
81,57.798,5.779803e+04 
24,0.386,3.856910e+02 
34,1.417,1.417104e+03 
54,3.489,3.488871e+03 
94,63.688,6.368829e+04 
86,67.306,6.730565e+04 
22,69.676,6.967611e+04 
32,70.704,7.070435e+04 
52,72.769,7.276930e+04 
92,132.976,1.329756e+05 
85,139.752,1.397519e+05 
81,156.370,1.563701e+05 
81,177.290,1.772898e+05 
81,177.942,1.779420e+05 
81,199.170,1.991705e+05 
22,142.134,1.421339e+05 
32,143.158,1.431581e+05 
52,145.225,1.452249e+05 
92,205.412,2.054119e+05 
86,207.640,2.076403e+05 
81,227.989,2.279886e+05 
81,239.792,2.397921e+05 
81,255.790,2.557902e+05 
22,210.023,2.100235e+05 
32,211.045,2.110450e+05 
52,213.113,2.131127e+05 
92,273.300,2.732998e+05 
86,275.369,2.753691e+05 
81,292.426,2.924256e+05 
81,302.356,3.023562e+05 
81,317.210,3.172099e+05 
81,327.994,3.279942e+05 
81,335.211,3.352108e+05 
26,277.786,2.777856e+05 
36,278.816,2.788156e+05 
56,280.882,2.808824e+05 
96,341.053,3.410532e+05 
86,345.626,3.456261e+05 
23,348.013,3.480134e+05 
33,349.035,3.490351e+05 
53,351.104,3.511038e+05 
93,411.273,4.112727e+05 
85,413.002,4.130021e+05 
81,424.848,4.248485e+05 
81,436.599,4.365990e+05 
81,445.385,4.453853e+05 
81,453.350,4.533499e+05 
81,464.751,4.647509e+05 
81,473.645,4.736447e+05 
26,415.383,4.153829e+05 
36,416.405,4.164049e+05 
56,418.470,4.184704e+05 
96,478.643,4.786426e+05 
85,480.060,4.800600e+05 
81,503.086,5.030856e+05 
81,519.226,5.192262e+05 
81,537.721,5.377208e+05 
25,482.447,4.824466e+05 
35,483.475,4.834748e+05 
55,485.541,4.855406e+05 
95,545.729,5.457293e+05 
86,548.523,5.485233e+05 
81,565.572,5.655720e+05 
81,575.509,5.755091e+05 
81,590.339,5.903386e+05 
81,601.153,6.011534e+05 
81,608.341,6.083407e+05 
25,550.926,5.509261e+05 
35,551.961,5.519614e+05 
55,554.029,5.540288e+05 
95,614.199,6.141990e+05 
85,620.988,6.209876e+05 
81,632.875,6.328749e+05 
81,644.626,6.446255e+05 
81,653.412,6.534116e+05 
81,661.375,6.613749e+05 
81,672.777,6.727773e+05 
81,681.669,6.816691e+05 
25,623.403,6.234028e+05 
35,624.431,6.244314e+05 
55,626.498,6.264975e+05 
95,686.702,6.867023e+05 
86,688.604,6.886043e+05 
81,700.479,7.004786e+05 
81,712.212,7.122122e+05 
81,721.015,7.210150e+05 
81,728.978,7.289780e+05 
81,740.380,7.403800e+05 
81,749.272,7.492720e+05 
26,691.010,6.910103e+05 
36,692.035,6.920346e+05 
56,694.097,6.940972e+05 
96,754.272,7.542718e+05 
86,755.917,7.559165e+05 
81,767.807,7.678065e+05 
81,779.532,7.795321e+05 
81,788.332,7.883319e+05 
81,796.308,7.963077e+05 
81,807.700,8.077002e+05 
81,816.600,8.166003e+05 
21,758.322,7.583220e+05 
31,759.354,7.593544e+05 
51,761.399,7.613990e+05 
91,821.575,8.215754e+05 
86,823.501,8.235010e+05 
81,843.851,8.438514e+05 
81,855.653,8.556529e+05 
81,871.653,8.716531e+05 
24,825.884,8.258839e+05 
34,826.908,8.269076e+05 
54,828.973,8.289730e+05 
94,889.161,8.891614e+05 
86,891.997,8.919974e+05 
81,909.021,9.090212e+05 
81,918.955,9.189546e+05 
81,933.798,9.337981e+05 
81,944.590,9.445895e+05 
81,951.790,9.517899e+05 
21,894.389,8.943888e+05 
31,895.411,8.954107e+05 
51,897.474,8.974738e+05 
91,957.648,9.576484e+05 
86,960.094,9.600940e+05 
81,983.108,9.831079e+05 
81,999.242,9.992424e+05 
81,1017.743,1.017743e+06 
21,962.475,9.624754e+05 
31,963.497,9.634971e+05 
51,965.559,9.655587e+05 
91,1025.735,1.025735e+06 
86,1027.406,1.027406e+06 
81,1039.261,1.039261e+06 
81,1050.995,1.050995e+06 
81,1059.811,1.059811e+06 
81,1067.764,1.067764e+06 
81,1079.162,1.079162e+06 
81,1088.054,1.088054e+06 
24,1029.791,1.029791e+06 
34,1030.817,1.030817e+06 
54,1032.881,1.032881e+06 
94,1093.071,1.093071e+06 
86,1094.814,1.094814e+06 
23,1097.189,1.097189e+06 
33,1098.220,1.098220e+06 
53,1100.284,1.100284e+06 
93,1160.457,1.160457e+06 
86,1161.775,1.161775e+06 
23,1164.163,1.164163e+06 
33,1165.189,1.165189e+06 
53,1167.257,1.167257e+06 
93,1227.427,1.227427e+06 
86,1230.927,1.230927e+06 
100,1231.928,1.231928e+06 
