type,latency,latency_ms
10,0.000,0 
21,0.332,3.318950e+02 
31,1.367,1.367174e+03 
51,3.433,3.433045e+03 
91,63.621,6.362097e+04 
81,76.747,7.674713e+04 
81,88.481,8.848086e+04 
81,97.297,9.729742e+04 
81,105.248,1.052476e+05 
81,116.649,1.166495e+05 
81,125.555,1.255547e+05 
22,67.274,6.727425e+04 
32,68.303,6.830340e+04 
52,70.367,7.036673e+04 
92,130.540,1.305399e+05 
81,155.070,1.550695e+05 
81,171.205,1.712046e+05 
81,189.703,1.897027e+05 
22,134.432,1.344321e+05 
32,135.456,1.354563e+05 
52,137.521,1.375211e+05 
92,197.693,1.976934e+05 
81,216.369,2.163692e+05 
81,226.303,2.263030e+05 
81,241.138,2.411381e+05 
81,251.938,2.519375e+05 
81,259.138,2.591381e+05 
21,201.737,2.017368e+05 
31,202.759,2.027593e+05 
51,204.823,2.048226e+05 
91,265.030,2.650300e+05 
81,278.272,2.782720e+05 
81,290.011,2.900114e+05 
81,298.807,2.988074e+05 
81,306.776,3.067762e+05 
81,318.174,3.181740e+05 
81,327.072,3.270717e+05 
21,268.808,2.688077e+05 
31,269.829,2.698293e+05 
51,271.893,2.718933e+05 
91,332.082,3.320818e+05 
81,359.509,3.595087e+05 
81,371.243,3.712425e+05 
81,380.059,3.800593e+05 
81,388.017,3.880168e+05 
81,399.410,3.994102e+05 
81,408.311,4.083106e+05 
21,350.032,3.500322e+05 
31,351.065,3.510651e+05 
51,353.128,3.531284e+05 
91,413.320,4.133197e+05 
81,426.794,4.267942e+05 
81,438.529,4.385286e+05 
81,447.345,4.473455e+05 
81,455.296,4.552959e+05 
81,466.696,4.666960e+05 
81,475.597,4.755965e+05 
21,417.317,4.173171e+05 
31,418.351,4.183510e+05 
51,420.414,4.204140e+05 
91,480.589,4.805889e+05 
81,503.014,5.030142e+05 
81,514.814,5.148144e+05 
81,530.815,5.308155e+05 
21,485.050,4.850501e+05 
31,486.070,4.860704e+05 
51,488.130,4.881305e+05 
91,548.308,5.483079e+05 
81,568.250,5.682502e+05 
81,578.184,5.781842e+05 
81,593.026,5.930260e+05 
81,603.818,6.038184e+05 
81,611.035,6.110351e+05 
22,553.618,5.536181e+05 
32,554.640,5.546399e+05 
52,556.704,5.567038e+05 
92,616.877,6.168769e+05 
81,642.470,6.424700e+05 
81,658.602,6.586021e+05 
81,677.104,6.771043e+05 
24,621.838,6.218380e+05 
34,622.860,6.228598e+05 
54,624.924,6.249238e+05 
94,685.097,6.850972e+05 
81,699.555,6.995555e+05 
81,711.306,7.113059e+05 
81,720.106,7.201064e+05 
81,728.057,7.280568e+05 
81,739.457,7.394573e+05 
81,748.358,7.483576e+05 
22,690.084,6.900843e+05 
32,691.112,6.911120e+05 
52,693.174,6.931745e+05 
92,753.366,7.533665e+05 
23,757.501,7.575014e+05 
33,758.532,7.585315e+05 
53,760.593,7.605931e+05 
93,820.769,8.207689e+05 
22,825.296,8.252956e+05 
32,826.318,8.263176e+05 
52,828.374,8.283739e+05 
92,888.554,8.885543e+05 
81,902.214,9.022138e+05 
81,913.953,9.139533e+05 
81,922.751,9.227509e+05 
81,930.717,9.307171e+05 
81,942.116,9.421159e+05 
81,951.013,9.510126e+05 
23,892.742,8.927424e+05 
33,893.770,8.937705e+05 
53,895.822,8.958220e+05 
93,956.025,9.560249e+05 
81,970.834,9.708337e+05 
81,982.584,9.825838e+05 
81,991.368,9.913677e+05 
81,999.335,9.993345e+05 
81,1010.735,1.010735e+06 
81,1019.636,1.019636e+06 
24,961.360,9.613596e+05 
34,962.390,9.623900e+05 
54,964.454,9.644543e+05 
94,1024.644,1.024644e+06 
81,1051.187,1.051187e+06 
81,1062.985,1.062985e+06 
81,1078.988,1.078988e+06 
22,1033.221,1.033221e+06 
32,1034.243,1.034243e+06 
52,1036.303,1.036303e+06 
92,1096.497,1.096497e+06 
100,1100.540,1.100540e+06 
