type,latency,latency_ms
10,0.000,0 
81,14.649,1.464937e+04 
81,24.583,2.458269e+04 
81,39.434,3.943350e+04 
81,50.234,5.023369e+04 
81,57.435,5.743548e+04 
21,0.023,2.259300e+01 
31,1.047,1.047135e+03 
51,3.048,3.048174e+03 
91,63.200,6.319980e+04 
81,89.045,8.904495e+04 
81,98.979,9.897892e+04 
81,113.812,1.138125e+05 
81,124.612,1.246120e+05 
81,131.829,1.318288e+05 
26,74.412,7.441169e+04 
36,75.434,7.543381e+04 
56,77.511,7.751102e+04 
96,137.704,1.377042e+05 
81,160.617,1.606168e+05 
81,172.369,1.723690e+05 
81,181.165,1.811646e+05 
81,189.112,1.891115e+05 
81,200.515,2.005152e+05 
81,209.415,2.094151e+05 
25,151.146,1.511461e+05 
35,152.170,1.521704e+05 
55,154.237,1.542375e+05 
95,214.407,2.144073e+05 
22,227.288,2.272881e+05 
32,228.324,2.283241e+05 
52,230.328,2.303278e+05 
92,290.493,2.904933e+05 
81,325.908,3.259080e+05 
81,337.704,3.377037e+05 
81,353.705,3.537053e+05 
26,307.933,3.079330e+05 
36,308.960,3.089601e+05 
56,311.035,3.110354e+05 
96,371.198,3.711977e+05 
24,381.539,3.815394e+05 
34,382.563,3.825631e+05 
54,384.629,3.846286e+05 
94,444.800,4.448000e+05 
81,472.727,4.727266e+05 
81,482.661,4.826606e+05 
81,497.495,4.974954e+05 
81,508.295,5.082949e+05 
81,515.495,5.154951e+05 
26,458.095,4.580947e+05 
36,459.116,4.591163e+05 
56,461.182,4.611816e+05 
96,521.353,5.213534e+05 
81,543.554,5.435543e+05 
81,564.455,5.644551e+05 
81,565.138,5.651385e+05 
81,586.356,5.863561e+05 
22,529.323,5.293232e+05 
32,530.353,5.303526e+05 
52,532.353,5.323530e+05 
92,592.507,5.925074e+05 
81,625.108,6.251077e+05 
81,636.908,6.369082e+05 
81,652.909,6.529090e+05 
22,607.147,6.071469e+05 
32,608.173,6.081725e+05 
52,610.173,6.101730e+05 
92,670.326,6.703255e+05 
81,734.921,7.349212e+05 
23,680.908,6.809081e+05 
33,681.942,6.819423e+05 
53,684.011,6.840110e+05 
93,744.213,7.442135e+05 
81,781.623,7.816231e+05 
81,797.756,7.977555e+05 
81,816.258,8.162579e+05 
25,760.977,7.609772e+05 
35,762.012,7.620122e+05 
55,764.076,7.640755e+05 
95,824.249,8.242492e+05 
81,850.184,8.501838e+05 
81,860.117,8.601175e+05 
81,874.968,8.749681e+05 
81,885.769,8.857685e+05 
81,892.969,8.929688e+05 
21,835.550,8.355500e+05 
31,836.582,8.365820e+05 
51,838.582,8.385824e+05 
91,898.735,8.987349e+05 
24,906.709,9.067089e+05 
34,907.735,9.077350e+05 
54,909.809,9.098092e+05 
94,969.972,9.699720e+05 
81,986.056,9.860564e+05 
81,1002.149,1.002149e+06 
81,1002.982,1.002982e+06 
23,982.917,9.829173e+05 
33,983.938,9.839382e+05 
53,986.007,9.860065e+05 
93,1046.175,1.046175e+06 
81,1112.103,1.112103e+06 
25,1058.093,1.058093e+06 
35,1059.125,1.059125e+06 
55,1061.187,1.061187e+06 
95,1121.362,1.121362e+06 
81,1142.583,1.142583e+06 
81,1154.305,1.154305e+06 
81,1163.105,1.163105e+06 
81,1171.069,1.171069e+06 
81,1182.473,1.182473e+06 
81,1191.364,1.191364e+06 
23,1133.105,1.133105e+06 
33,1134.128,1.134128e+06 
53,1136.189,1.136189e+06 
93,1196.366,1.196366e+06 
81,1264.660,1.264660e+06 
24,1210.660,1.210660e+06 
34,1211.681,1.211681e+06 
54,1213.744,1.213744e+06 
94,1273.917,1.273917e+06 
81,1294.186,1.294186e+06 
81,1305.936,1.305936e+06 
81,1314.736,1.314736e+06 
81,1322.687,1.322687e+06 
81,1334.087,1.334087e+06 
81,1342.988,1.342988e+06 
21,1284.715,1.284715e+06 
31,1285.751,1.285751e+06 
51,1287.751,1.287751e+06 
91,1347.904,1.347904e+06 
100,1356.355,1.356355e+06 
