type,latency,latency_ms
10,0.000,0 
81,9.802,9.802210e+03 
81,21.529,2.152917e+04 
81,30.330,3.033034e+04 
81,38.294,3.829380e+04 
81,49.696,4.969627e+04 
81,58.587,5.858722e+04 
22,0.318,3.178240e+02 
32,1.350,1.350281e+03 
52,3.416,3.415947e+03 
92,63.604,6.360406e+04 
84,65.331,6.533050e+04 
81,77.182,7.718201e+04 
81,88.918,8.891801e+04 
81,97.714,9.771376e+04 
81,105.680,1.056805e+05 
81,117.082,1.170815e+05 
81,125.978,1.259783e+05 
24,67.706,6.770626e+04 
34,68.736,6.873644e+04 
54,70.799,7.079865e+04 
94,130.974,1.309739e+05 
85,154.516,1.545155e+05 
81,166.367,1.663670e+05 
81,178.101,1.781013e+05 
81,186.902,1.869016e+05 
81,194.868,1.948675e+05 
81,206.269,2.062686e+05 
81,215.169,2.151691e+05 
26,156.889,1.568887e+05 
36,157.924,1.579238e+05 
56,159.986,1.599859e+05 
96,220.211,2.202109e+05 
85,222.307,2.223070e+05 
81,278.689,2.786886e+05 
23,224.689,2.246892e+05 
33,225.710,2.257100e+05 
53,227.773,2.277726e+05 
93,287.964,2.879637e+05 
85,289.475,2.894750e+05 
25,291.879,2.918789e+05 
35,292.914,2.929136e+05 
55,294.980,2.949797e+05 
95,355.167,3.551672e+05 
86,357.093,3.570932e+05 
81,377.426,3.774261e+05 
81,389.229,3.892293e+05 
81,405.227,4.052274e+05 
23,359.460,3.594597e+05 
33,360.482,3.604821e+05 
53,362.545,3.625449e+05 
93,422.719,4.227192e+05 
86,424.275,4.242753e+05 
25,426.672,4.266719e+05 
35,427.702,4.277016e+05 
55,429.765,4.297647e+05 
95,489.940,4.899396e+05 
85,491.077,4.910766e+05 
22,493.466,4.934657e+05 
32,494.488,4.944878e+05 
52,496.549,4.965493e+05 
92,556.725,5.567254e+05 
85,559.396,5.593956e+05 
81,571.267,5.712675e+05 
81,583.001,5.830012e+05 
81,591.806,5.918061e+05 
81,599.767,5.997667e+05 
81,611.169,6.111694e+05 
81,620.067,6.200672e+05 
21,561.799,5.617987e+05 
31,562.824,5.628240e+05 
51,564.891,5.648909e+05 
91,625.078,6.250782e+05 
85,626.676,6.266759e+05 
81,638.537,6.385371e+05 
81,650.271,6.502708e+05 
81,659.075,6.590747e+05 
81,667.038,6.670381e+05 
81,678.439,6.784388e+05 
81,687.339,6.873395e+05 
21,629.070,6.290698e+05 
31,630.094,6.300935e+05 
51,632.158,6.321578e+05 
91,692.330,6.923302e+05 
86,693.716,6.937162e+05 
23,696.090,6.960898e+05 
33,697.113,6.971131e+05 
53,699.178,6.991783e+05 
93,759.351,7.593509e+05 
85,763.444,7.634442e+05 
81,786.493,7.864932e+05 
81,802.630,8.026299e+05 
81,821.122,8.211216e+05 
25,765.851,7.658511e+05 
35,766.883,7.668831e+05 
55,768.946,7.689457e+05 
95,829.137,8.291374e+05 
85,833.236,8.332364e+05 
81,849.846,8.498463e+05 
81,870.750,8.707503e+05 
81,871.417,8.714166e+05 
81,892.648,8.926477e+05 
26,835.607,8.356067e+05 
36,836.636,8.366357e+05 
56,838.697,8.386972e+05 
96,898.873,8.988733e+05 
85,903.765,9.037647e+05 
24,906.153,9.061532e+05 
34,907.189,9.071887e+05 
54,909.251,9.092511e+05 
94,969.425,9.694250e+05 
85,971.205,9.712049e+05 
81,988.252,9.882520e+05 
81,998.186,9.981858e+05 
81,1013.021,1.013021e+06 
81,1023.820,1.023820e+06 
81,1031.021,1.031021e+06 
26,973.609,9.736087e+05 
36,974.642,9.746417e+05 
56,976.703,9.767027e+05 
96,1036.879,1.036879e+06 
85,1038.725,1.038725e+06 
81,1050.571,1.050571e+06 
81,1062.305,1.062305e+06 
81,1071.104,1.071104e+06 
81,1079.068,1.079068e+06 
81,1090.465,1.090465e+06 
81,1099.374,1.099374e+06 
22,1041.100,1.041100e+06 
32,1042.128,1.042128e+06 
52,1044.191,1.044191e+06 
92,1104.366,1.104366e+06 
85,1107.541,1.107541e+06 
24,1109.935,1.109935e+06 
34,1110.964,1.110964e+06 
54,1113.030,1.113030e+06 
94,1173.218,1.173218e+06 
84,1174.694,1.174694e+06 
81,1191.711,1.191711e+06 
81,1201.644,1.201644e+06 
81,1216.482,1.216482e+06 
81,1227.279,1.227279e+06 
81,1234.479,1.234479e+06 
21,1177.069,1.177069e+06 
31,1178.100,1.178100e+06 
51,1180.163,1.180163e+06 
91,1240.338,1.240338e+06 
85,1242.422,1.242422e+06 
100,1243.423,1.243423e+06 
