type,latency,latency_ms
10,0.000,0 
81,9.830,9.829634e+03 
81,21.582,2.158182e+04 
81,30.378,3.037780e+04 
81,38.326,3.832560e+04 
81,49.731,4.973118e+04 
81,58.629,5.862941e+04 
21,0.358,3.576840e+02 
31,1.384,1.383773e+03 
51,3.449,3.449393e+03 
91,63.637,6.363670e+04 
81,124.735,1.247348e+05 
24,70.722,7.072207e+04 
34,71.753,7.175316e+04 
54,73.816,7.381639e+04 
94,134.007,1.340067e+05 
81,158.908,1.589079e+05 
81,175.038,1.750379e+05 
81,193.534,1.935343e+05 
21,138.267,1.382665e+05 
31,139.289,1.392894e+05 
51,141.355,1.413550e+05 
91,201.543,2.015433e+05 
81,261.270,2.612704e+05 
22,207.254,2.072543e+05 
32,208.275,2.082754e+05 
52,210.335,2.103346e+05 
92,270.529,2.705293e+05 
81,328.607,3.286066e+05 
22,274.577,2.745770e+05 
32,275.612,2.756119e+05 
52,277.677,2.776774e+05 
92,337.849,3.378486e+05 
81,345.232,3.452322e+05 
81,361.324,3.613243e+05 
81,362.158,3.621576e+05 
23,342.081,3.420809e+05 
33,343.114,3.431140e+05 
53,345.183,3.451831e+05 
93,405.368,4.053684e+05 
81,424.544,4.245439e+05 
81,434.477,4.344774e+05 
81,449.328,4.493281e+05 
81,460.112,4.601118e+05 
81,467.312,4.673119e+05 
21,409.898,4.098982e+05 
31,410.933,4.109334e+05 
51,412.999,4.129986e+05 
91,473.171,4.731707e+05 
81,532.265,5.322650e+05 
24,478.266,4.782657e+05 
34,479.286,4.792861e+05 
54,481.346,4.813463e+05 
94,541.523,5.415230e+05 
81,554.933,5.549325e+05 
81,566.666,5.666663e+05 
81,575.483,5.754832e+05 
81,583.435,5.834352e+05 
81,594.834,5.948343e+05 
81,603.734,6.037340e+05 
21,545.457,5.454569e+05 
31,546.489,5.464888e+05 
51,548.552,5.485523e+05 
91,608.742,6.087423e+05 
81,631.169,6.311690e+05 
81,642.970,6.429700e+05 
81,658.970,6.589699e+05 
23,613.195,6.131952e+05 
33,614.225,6.142249e+05 
53,616.287,6.162874e+05 
93,676.463,6.764627e+05 
81,734.673,7.346732e+05 
21,680.669,6.806689e+05 
31,681.694,6.816942e+05 
51,683.757,6.837570e+05 
91,743.930,7.439303e+05 
81,802.843,8.028427e+05 
22,748.838,7.488384e+05 
32,749.864,7.498637e+05 
52,751.926,7.519259e+05 
92,812.118,8.121181e+05 
81,830.544,8.305437e+05 
81,840.478,8.404775e+05 
81,855.309,8.553094e+05 
81,866.112,8.661118e+05 
81,873.312,8.733117e+05 
22,815.900,8.158995e+05 
32,816.933,8.169331e+05 
52,818.996,8.189958e+05 
92,879.170,8.791704e+05 
81,904.247,9.042467e+05 
81,920.385,9.203846e+05 
81,938.882,9.388816e+05 
22,883.601,8.836008e+05 
32,884.636,8.846358e+05 
52,886.699,8.866995e+05 
92,946.890,9.468899e+05 
81,965.599,9.655992e+05 
81,975.533,9.755328e+05 
81,990.368,9.903679e+05 
81,1001.167,1.001167e+06 
81,1008.367,1.008367e+06 
22,950.967,9.509669e+05 
32,951.989,9.519886e+05 
52,954.049,9.540491e+05 
92,1014.226,1.014226e+06 
81,1037.469,1.037469e+06 
81,1049.267,1.049267e+06 
81,1065.270,1.065270e+06 
21,1019.501,1.019501e+06 
31,1020.525,1.020525e+06 
51,1022.569,1.022569e+06 
91,1082.762,1.082762e+06 
100,1086.040,1.086040e+06 
