type,latency,latency_ms
10,0.000,0 
81,54.380,5.437961e+04 
25,0.366,3.664700e+02 
35,1.400,1.400215e+03 
55,3.467,3.466769e+03 
95,63.638,6.363772e+04 
81,83.313,8.331342e+04 
81,95.046,9.504632e+04 
81,103.851,1.038513e+05 
81,111.815,1.118153e+05 
81,123.215,1.232155e+05 
81,132.117,1.321172e+05 
23,73.843,7.384305e+04 
33,74.870,7.487006e+04 
53,76.935,7.693469e+04 
93,137.106,1.371063e+05 
81,164.827,1.648270e+05 
81,176.628,1.766283e+05 
81,192.626,1.926257e+05 
22,146.865,1.468648e+05 
32,147.890,1.478897e+05 
52,149.891,1.498907e+05 
92,210.043,2.100427e+05 
81,277.388,2.773879e+05 
25,223.379,2.233791e+05 
35,224.410,2.244095e+05 
55,226.483,2.264831e+05 
95,286.647,2.866467e+05 
81,350.858,3.508578e+05 
23,296.845,2.968452e+05 
33,297.880,2.978799e+05 
53,299.944,2.999438e+05 
93,360.117,3.601168e+05 
81,385.351,3.853507e+05 
81,395.284,3.952843e+05 
81,410.135,4.101351e+05 
81,420.935,4.209353e+05 
81,428.136,4.281358e+05 
21,370.722,3.707216e+05 
31,371.749,3.717489e+05 
51,373.751,3.737512e+05 
91,433.905,4.339048e+05 
81,469.963,4.699631e+05 
81,486.092,4.860925e+05 
81,504.598,5.045979e+05 
24,449.330,4.493296e+05 
34,450.352,4.503522e+05 
54,452.423,4.524231e+05 
94,512.589,5.125894e+05 
81,536.190,5.361903e+05 
81,546.124,5.461241e+05 
81,560.975,5.609747e+05 
81,571.775,5.717752e+05 
81,578.975,5.789754e+05 
21,521.553,5.215528e+05 
31,522.589,5.225886e+05 
51,524.589,5.245890e+05 
91,584.742,5.847415e+05 
81,613.402,6.134021e+05 
81,625.201,6.252007e+05 
81,641.204,6.412036e+05 
23,595.433,5.954332e+05 
33,596.458,5.964584e+05 
53,598.530,5.985295e+05 
93,658.695,6.586946e+05 
81,684.380,6.843799e+05 
81,696.180,6.961805e+05 
81,712.181,7.121811e+05 
21,666.417,6.664173e+05 
31,667.445,6.674447e+05 
51,669.445,6.694451e+05 
91,729.600,7.296001e+05 
81,747.833,7.478327e+05 
81,759.583,7.595831e+05 
81,768.384,7.683835e+05 
81,776.334,7.763340e+05 
81,787.734,7.877343e+05 
81,796.635,7.966347e+05 
22,738.369,7.383694e+05 
32,739.398,7.393978e+05 
52,741.398,7.413982e+05 
92,801.550,8.015504e+05 
81,864.038,8.640383e+05 
26,810.027,8.100270e+05 
36,811.051,8.110508e+05 
56,813.119,8.131187e+05 
96,873.305,8.733049e+05 
81,901.631,9.016312e+05 
81,913.431,9.134310e+05 
81,929.432,9.294323e+05 
25,883.656,8.836563e+05 
35,884.687,8.846872e+05 
55,886.753,8.867526e+05 
95,946.924,9.469245e+05 
81,970.267,9.702674e+05 
81,980.199,9.801987e+05 
81,995.036,9.950356e+05 
81,1005.836,1.005836e+06 
81,1013.036,1.013036e+06 
24,955.623,9.556235e+05 
34,956.657,9.566570e+05 
54,958.722,9.587224e+05 
94,1018.894,1.018894e+06 
81,1050.588,1.050588e+06 
81,1066.722,1.066722e+06 
81,1085.222,1.085222e+06 
26,1029.951,1.029951e+06 
36,1030.977,1.030977e+06 
56,1033.042,1.033042e+06 
96,1093.213,1.093213e+06 
81,1123.015,1.123015e+06 
81,1134.816,1.134816e+06 
81,1150.816,1.150816e+06 
22,1105.044,1.105044e+06 
32,1106.080,1.106080e+06 
52,1108.080,1.108080e+06 
92,1168.233,1.168233e+06 
81,1193.543,1.193543e+06 
81,1205.345,1.205345e+06 
81,1221.345,1.221345e+06 
26,1175.572,1.175572e+06 
36,1176.600,1.176600e+06 
56,1178.671,1.178671e+06 
96,1238.870,1.238870e+06 
81,1259.996,1.259996e+06 
81,1280.895,1.280895e+06 
81,1281.581,1.281581e+06 
81,1302.798,1.302798e+06 
24,1245.752,1.245752e+06 
34,1246.786,1.246786e+06 
54,1248.846,1.248846e+06 
94,1309.023,1.309023e+06 
100,1316.441,1.316441e+06 
